"","Variable","Description","URL","Levels","Category","UKB.dataset.ID","Field.ID","Notes","Description.1","Years.collected","UKB.Assessment","UKB.Category"
"25","pub","Leisure/social activities","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160",NA,"Social support","f.6160.0.0 - f.6160.0.4",6161,"",NA,"","",""
"26","religious_group","Leisure/social activities","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160",NA,"Social support","f.6160.0.0 - f.6160.0.4",6162,"",NA,"","",""
"27","adult_education","Leisure/social activities","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6160",NA,"Social support","f.6160.0.0 - f.6160.0.4",6163,"",NA,"","",""
"29","confide_freq","Able to confide","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2110",NA,"Social support","f.2110.0.0",2110,"",NA,"2006-2010","ACE/Touchscreen","Social support"
"30","loneliness","Loneliness, isolation","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2020",NA,"Social support","f.2020.0.0",2020,"",NA,"","","Mental health"
"31","accommodation_type","Type of accommodation lived in","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=670",NA,"Household","f.670.0.0",670,"",NA,"2006-2010","ACE/Touchscreen","Household"
"32","own_or_rent","Own or rent accommodation lived in","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=680",NA,"Household","f.680.0.0",680,"",NA,"2006-2010","ACE/Touchscreen","Household"
"33","gas_hob_heat","Gas or solid-fuel cooking/heating","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6139",NA,"Household","f.6139.0.0 - f.6139.0.2",6139,"",NA,"2006-2010","ACE/Touchscreen","Household"
"34","gas_fire_heat","Gas or solid-fuel cooking/heating","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6139",NA,"Household","f.6139.0.0 - f.6139.0.2",6139,"",NA,"","",""
"35","open_fire_heat","Gas or solid-fuel cooking/heating","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6139",NA,"Household","f.6139.0.0 - f.6139.0.2",6139,"",NA,"","",""
"36","gas_central_heat","Heating type(s) in home","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6140",NA,"Household","f.6140.0.0 - f.6140.0.5",6140,"",NA,"2006-2010","ACE/Touchscreen","Household"
"37","electric_storage_heat","Heating type(s) in home","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6140",NA,"Household","f.6140.0.0 - f.6140.0.5",6140,"",NA,"","",""
"38","oil_central_heat","Heating type(s) in home","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6140",NA,"Household","f.6140.0.0 - f.6140.0.5",6140,"",NA,"","",""
"39","portable_gas_heat","Heating type(s) in home","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6140",NA,"Household","f.6140.0.0 - f.6140.0.5",6140,"",NA,"","",""
"40","solid_fuel_heat","Heating type(s) in home","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6140",NA,"Household","f.6140.0.0 - f.6140.0.5",6140,"",NA,"","",""
"41","open_fire_no_central_heat","Heating type(s) in home","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6140",NA,"Household","f.6140.0.0 - f.6140.0.5",6140,"",NA,"","",""
"42","years_at_address","Length of time at current address","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=699",NA,"Household","f.699.0.0",699,"",NA,"2006-2010","ACE/Touchscreen","Household"
"43","hshld_number","Number in household","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=709",NA,"Household","f.709.0.0",709,"",NA,"2006-2010","ACE/Touchscreen","Household"
"44","hshld_partner","How are people in household related to participant","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6141",NA,"Household","f.6141.0.0 - f.6141.0.7",6141,"",NA,"2006-2010","ACE/Touchscreen","Household"
"45","hshld_children","How are people in household related to participant","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6141",NA,"Household","f.6141.0.0 - f.6141.0.7",6141,"",NA,"","",""
"46","hshld_siblings","How are people in household related to participant","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6141",NA,"Household","f.6141.0.0 - f.6141.0.7",6141,"",NA,"","",""
"47","hshld_parents","How are people in household related to participant","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6141",NA,"Household","f.6141.0.0 - f.6141.0.7",6141,"",NA,"","",""
"48","hshld_grandparent","How are people in household related to participant","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6141",NA,"Household","f.6141.0.0 - f.6141.0.7",6141,"",NA,"","",""
"49","hshld_grandchild","How are people in household related to participant","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6141",NA,"Household","f.6141.0.0 - f.6141.0.7",6141,"",NA,"","",""
"52","hshld_vehicles","Number of vehicles in household","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=728",NA,"Household","f.728.0.0",728,"",NA,"2006-2010","ACE/Touchscreen","Household"
"53","hshld_income","Average total household income before tax","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=738",NA,"Household","f.738.0.0",738,"",NA,"2006-2010","ACE/Touchscreen","Household"
"54","education_college","Qualifications","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6138",NA,"Education","f.6138.0.0 - f.6138.0.5",6138,"",NA,"2006-2010","ACE/Touchscreen","Education"
"55","education_A_levels","Qualifications","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6138",NA,"Education","f.6138.0.0 - f.6138.0.5",6138,"",NA,"","",""
"56","education_O_levels","Qualifications","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6138",NA,"Education","f.6138.0.0 - f.6138.0.5",6138,"",NA,"","",""
"57","education_CSEs","Qualifications","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6138",NA,"Education","f.6138.0.0 - f.6138.0.5",6138,"",NA,"","",""
"58","education_NVQ","Qualifications","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6138",NA,"Education","f.6138.0.0 - f.6138.0.5",6138,"",NA,"","",""
"59","education_other_professional","Qualifications","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6138",NA,"Education","f.6138.0.0 - f.6138.0.5",6138,"",NA,"","",""
"60","education_none","Qualifications","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6138",NA,"Education","f.6138.0.0 - f.6138.0.5",6138,"",NA,"","",""
"65","employed","Current employment status","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6142",NA,"Employment","f.6142.0.0 - f.6142.0.6",6142,"",NA,"2006-2010","ACE/Touchscreen","Employment"
"66","retired","Current employment status","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6142",NA,"Employment","f.6142.0.0 - f.6142.0.6",6142,"",NA,"","",""
"67","home_maker","Current employment status","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6142",NA,"Employment","f.6142.0.0 - f.6142.0.6",6142,"",NA,"","",""
"68","unemployed_disability","Current employment status","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6142",NA,"Employment","f.6142.0.0 - f.6142.0.6",6142,"",NA,"","",""
"69","unemployed","Current employment status","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6142",NA,"Employment","f.6142.0.0 - f.6142.0.6",6142,"",NA,"","",""
"70","volunteer","Current employment status","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6142",NA,"Employment","f.6142.0.0 - f.6142.0.6",6142,"",NA,"","",""
"71","student","Current employment status","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6142",NA,"Employment","f.6142.0.0 - f.6142.0.6",6142,"",NA,"","",""
"73","employment_hours","Length of working week for main job","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=767",NA,"Employment","f.767.0.0",767,"",NA,"2006-2010","ACE/Touchscreen","Employment"
"79","employment_standing","Job involves mainly walking or standing","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=806",NA,"Employment","f.806.0.0",806,"",NA,"2006-2010","ACE/Touchscreen","Employment"
"80","employment_heavy_manual","Job involves heavy manual or physical work","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=816",NA,"Employment","f.816.0.0",816,"",NA,"2006-2010","ACE/Touchscreen","Employment"
"85","ethnicity","Ethnic background","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=21000",NA,"Other sociodemographics","f.21000.0.0",21000,"",NA,"2006-2010","ACE/Touchscreen","Ethnicity"
"86","attendance_allowance","Attendance/disability/mobility allowance","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6146",NA,"Other sociodemographics","f.6146.0.0 - f.6146.0.2",6146,"",NA,"2006-2010","ACE/Touchscreen","Other sociodemographic"
"87","disability_allowance","Attendance/disability/mobility allowance","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6146",NA,"Other sociodemographics","f.6146.0.0 - f.6146.0.2",6146,"",NA,"","",""
"88","blue_badge","Attendance/disability/mobility allowance","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6146",NA,"Other sociodemographics","f.6146.0.0 - f.6146.0.2",6146,"",NA,"","",""
"89","private_healthcare","Private healthcare","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4674",NA,"Other sociodemographics","f.4674.0.0",4674,"",NA,"2006-2010","ACE/Touchscreen","Other sociodemographic"
"90","recruitment_age","Age at recruitment","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=21022",NA,"Other sociodemographics","f.21022.0.0",21022,"",NA,"2006-2010","Population characteristics","Baseline characteristics"
"91","birth_year","Year of birth","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=34",NA,"Other sociodemographics","f.34.0.0",34,"",NA,"2006-2010","Population characteristics","Baseline characteristics"
"92","sex","Sex","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=31",NA,"Other sociodemographics","f.31.0.0",31,"",NA,"","",""
"93","recruitment_centre","UK Biobank assessment centre","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=54",NA,"Other sociodemographics","f.54.0.0",54,"",NA,"2006-2010","ACE/Recruitment","Reception"
"94","recruitment_date","Date of attending assessment centre","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=53",NA,"Other sociodemographics","f.53.0.0",53,"",NA,"","",""
"95","father_alzheimers","Illnesses of father","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107",NA,"Family medical history","f.20107.0.0 - f.20107.0.9",20107,"",NA,"2006-2010","ACE/Touchscreen","Family history"
"96","father_severe_depression","Illnesses of father","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107",NA,"Family medical history","f.20107.0.0 - f.20107.0.9",20107,"",NA,"","",""
"97","father_parkinsons","Illnesses of father","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107",NA,"Family medical history","f.20107.0.0 - f.20107.0.9",20107,"",NA,"","",""
"98","father_diabetes","Illnesses of father","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107",NA,"Family medical history","f.20107.0.0 - f.20107.0.9",20107,"",NA,"","",""
"99","father_high_blood_pressure","Illnesses of father","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107",NA,"Family medical history","f.20107.0.0 - f.20107.0.9",20107,"",NA,"","",""
"100","father_bronchitis_emphysema","Illnesses of father","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107",NA,"Family medical history","f.20107.0.0 - f.20107.0.9",20107,"",NA,"","",""
"101","father_prostate_cancer","Illnesses of father","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107",NA,"Family medical history","f.20107.0.0 - f.20107.0.9",20107,"",NA,"","",""
"102","father_bowel_cancer","Illnesses of father","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107",NA,"Family medical history","f.20107.0.0 - f.20107.0.9",20107,"",NA,"","",""
"103","father_lung_cancer","Illnesses of father","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107",NA,"Family medical history","f.20107.0.0 - f.20107.0.9",20107,"",NA,"","",""
"104","father_stroke","Illnesses of father","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107",NA,"Family medical history","f.20107.0.0 - f.20107.0.9",20107,"",NA,"","",""
"105","father_heart_disease","Illnesses of father","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107",NA,"Family medical history","f.20107.0.0 - f.20107.0.9",20107,"",NA,"","",""
"106","mother_alzheimers","Illnesses of mother","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110",NA,"Family medical history","f.20110.0.0 - f.20110.0.10",20110,"",NA,"2006-2010","ACE/Touchscreen","Family history"
"107","mother_severe_depression","Illnesses of mother","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110",NA,"Family medical history","f.20110.0.0 - f.20110.0.10",20110,"",NA,"","",""
"108","mother_parkinsons","Illnesses of mother","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110",NA,"Family medical history","f.20110.0.0 - f.20110.0.10",20110,"",NA,"","",""
"109","mother_diabetes","Illnesses of mother","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110",NA,"Family medical history","f.20110.0.0 - f.20110.0.10",20110,"",NA,"","",""
"110","mother_high_blood_pressure","Illnesses of mother","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110",NA,"Family medical history","f.20110.0.0 - f.20110.0.10",20110,"",NA,"","",""
"111","mother_bronchitis_emphysema","Illnesses of mother","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110",NA,"Family medical history","f.20110.0.0 - f.20110.0.10",20110,"",NA,"","",""
"112","mother_breast_cancer","Illnesses of mother","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110",NA,"Family medical history","f.20110.0.0 - f.20110.0.10",20110,"",NA,"","",""
"113","mother_bowel_cancer","Illnesses of mother","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110",NA,"Family medical history","f.20110.0.0 - f.20110.0.10",20110,"",NA,"","",""
"114","mother_lung_cancer","Illnesses of mother","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110",NA,"Family medical history","f.20110.0.0 - f.20110.0.10",20110,"",NA,"","",""
"115","mother_stroke","Illnesses of mother","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110",NA,"Family medical history","f.20110.0.0 - f.20110.0.10",20110,"",NA,"","",""
"116","mother_heart_disease","Illnesses of mother","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110",NA,"Family medical history","f.20110.0.0 - f.20110.0.10",20110,"",NA,"","",""
"117","sibling_alzheimers","Illnesses of siblings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111",NA,"Family medical history","f.20111.0.0 - f.20111.0.11",20111,"",NA,"2006-2010","ACE/Touchscreen","Family history"
"118","sibling_severe_depression","Illnesses of siblings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111",NA,"Family medical history","f.20111.0.0 - f.20111.0.11",20111,"",NA,"","",""
"119","sibling_parkinsons","Illnesses of siblings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111",NA,"Family medical history","f.20111.0.0 - f.20111.0.11",20111,"",NA,"","",""
"120","sibling_diabetes","Illnesses of siblings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111",NA,"Family medical history","f.20111.0.0 - f.20111.0.11",20111,"",NA,"","",""
"121","sibling_high_blood_pressure","Illnesses of siblings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111",NA,"Family medical history","f.20111.0.0 - f.20111.0.11",20111,"",NA,"","",""
"122","sibling_bronchitis_emphysema","Illnesses of siblings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111",NA,"Family medical history","f.20111.0.0 - f.20111.0.11",20111,"",NA,"","",""
"123","sibling_breast_cancer","Illnesses of siblings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111",NA,"Family medical history","f.20111.0.0 - f.20111.0.11",20111,"",NA,"","",""
"124","sibling_prostate_cancer","Illnesses of siblings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111",NA,"Family medical history","f.20111.0.0 - f.20111.0.11",20111,"",NA,"","",""
"125","sibling_bowel_cancer","Illnesses of siblings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111",NA,"Family medical history","f.20111.0.0 - f.20111.0.11",20111,"",NA,"","",""
"126","sibling_lung_cancer","Illnesses of siblings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111",NA,"Family medical history","f.20111.0.0 - f.20111.0.11",20111,"",NA,"","",""
"127","sibling_stroke","Illnesses of siblings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111",NA,"Family medical history","f.20111.0.0 - f.20111.0.11",20111,"",NA,"","",""
"128","sibling_heart_disease","Illnesses of siblings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20111",NA,"Family medical history","f.20111.0.0 - f.20111.0.11",20111,"",NA,"","",""
"129","death_close_family","Non-accidental death in close genetic family","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4501",NA,"Family medical history","f.4501.0.0",4501,"",NA,"2006-2010","ACE/Touchscreen","Family history"
"130","father_alive","Father still alive","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1797",NA,"Family medical history","f.1797.0.0",1797,"",NA,"2006-2010","ACE/Touchscreen","Family history"
"134","mother_alive","Mother still alive","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1835",NA,"Family medical history","f.1835.0.0",1835,"",NA,"2006-2010","ACE/Touchscreen","Family history"
"138","number_brothers","Number of full brothers","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1873",NA,"Family medical history","f.1873.0.0",1873,"",NA,"2006-2010","ACE/Touchscreen","Family history"
"140","number_sisters","Number of full sisters","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=1883",NA,"Family medical history","f.1883.0.0",1883,"",NA,"2006-2010","ACE/Touchscreen","Family history"
"142","number_older_siblings","Number of older siblings","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=5057",NA,"Family medical history","f.5057.0.0",5057,"",NA,"2006-2010","ACE/Touchscreen","Family history"
"143","heart_attack_diagnosis","Vascular/heart problems diagnosed by doctor","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6150",NA,"Medical conditions","f.6150.0.0 - f.6150.0.3",6150,"",NA,"2006-2010","ACE/Touchscreen","Medical conditions"
"144","stroke_diagnosis","Vascular/heart problems diagnosed by doctor","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6150",NA,"Medical conditions","f.6150.0.0 - f.6150.0.3",6150,"",NA,"","",""
"145","angina_diagnosis","Vascular/heart problems diagnosed by doctor","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6150",NA,"Medical conditions","f.6150.0.0 - f.6150.0.3",6150,"",NA,"","",""
"146","high_blood_pressure_diagnosis","Vascular/heart problems diagnosed by doctor","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6150",NA,"Medical conditions","f.6150.0.0 - f.6150.0.3",6150,"",NA,"","",""
"151","asthma_diagnosis","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6152",NA,"Medical conditions","f.6152.0.0",6152,"",NA,"2006-2010","ACE/Touchscreen","Medical conditions"
"152","DVT_diagnosis","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6152",NA,"Medical conditions","f.6152.0.1 - f.6152.0.4",6152,"",NA,"","",""
"153","hayfever_diagnosis","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6152",NA,"Medical conditions","f.6152.0.1 - f.6152.0.4",6152,"",NA,"","",""
"154","bronchitis_emphysema_diagnosis","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6152",NA,"Medical conditions","f.6152.0.1 - f.6152.0.4",6152,"",NA,"","",""
"155","blood_clot_lung_diagnosis","Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6152",NA,"Medical conditions","f.6152.0.1 - f.6152.0.4",6152,"",NA,"","",""
"161","diabetes_diagnosis","Diabetes diagnosed by doctor","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2443",NA,"Medical conditions","f.2443.0.0",2443,"",NA,"2006-2010","ACE/Touchscreen","Medical conditions"
"165","cancer_diagnosis","Cancer diagnosed by doctor","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2453",NA,"Medical conditions","f.2453.0.0",2453,"",NA,"2006-2010","ACE/Touchscreen","Medical conditions"
"166","fracture_last_5yrs","Fractured/broken bones in last 5 years","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2463",NA,"Medical conditions","f.2463.0.0",2463,"",NA,"2006-2010","ACE/Touchscreen","Medical conditions"
"169","number_cancers","Number of self-reported cancers","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=134",NA,"Medical conditions","f.134.0.0",134,"",NA,"2006-2010","ACE/Verbal interview","Medical conditions"
"170","number_illnesses","Number of self-reported non-cancer illnesses","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=135",NA,"Medical conditions","f.135.0.0",135,"",NA,"2006-2010","ACE/Verbal interview","Medical conditions"
"212","glasses","Wears glasses or contact lenses","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2207",NA,"Medical conditions","f.2207.0.0",2207,"",NA,"2006-2010","ACE/Touchscreen","Eyesight"
"231","macular_degeneration","Eye problems/disorders","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6148",NA,"Medical conditions","f.6148.0.0 - f.6148.0.4",6148,"",NA,"","",""
"232","cataract","Eye problems/disorders","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6148",NA,"Medical conditions","f.6148.0.0 - f.6148.0.5",6148,"",NA,"","",""
"234","trauma_vision_loss","Eye problems/disorders","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6148",NA,"Medical conditions","f.6148.0.0 - f.6148.0.7",6148,"",NA,"","",""
"246","bleeding_gums","Mouth/teeth dental problems","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6149",NA,"Medical conditions","f.6149.0.0 - f.6149.0.5",6149,"",NA,"2006-2010","ACE/Touchscreen","Mouth"
"247","dentures","Mouth/teeth dental problems","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6149",NA,"Medical conditions","f.6149.0.0 - f.6149.0.6",6149,"",NA,"","",""
"248","toothache","Mouth/teeth dental problems","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6149",NA,"Medical conditions","f.6149.0.0 - f.6149.0.7",6149,"",NA,"","",""
"249","mouth_ulcers","Mouth/teeth dental problems","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6149",NA,"Medical conditions","f.6149.0.0 - f.6149.0.8",6149,"",NA,"","",""
"250","painful_gums","Mouth/teeth dental problems","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6149",NA,"Medical conditions","f.6149.0.0 - f.6149.0.9",6149,"",NA,"","",""
"251","loose_teeth","Mouth/teeth dental problems","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6149",NA,"Medical conditions","f.6149.0.0 - f.6149.0.10",6149,"",NA,"","",""
"252","overall_health","Overall health rating","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2178",NA,"General health","f.2178.0.0",2178,"",NA,"2006-2010","ACE/Touchscreen","General health"
"253","chronic_illness","Long-standing illness, disability or infirmity","http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=2188",NA,"General health","f.2188.0.0",2188,"",NA,"2006-2010","ACE/Touchscreen","General health"
